,layer,feature,indirect_effect,prompt_str,response_str,node_type
165153,6,13089,0.26731279492378235,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
142135,5,15415,0.24010980129241943,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
195926,7,18518,0.23125708103179932,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
59528,2,8840,0.22035349905490875,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
122141,4,20765,0.21331672370433807,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
65467,2,14779,0.1902921348810196,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
229817,9,1721,0.18430541455745697,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
102738,4,1362,0.17564859986305237,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
145577,5,18857,0.17101988196372986,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
30292,1,4948,0.1657675802707672,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
197891,7,20483,0.1657439023256302,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
298867,11,20083,0.15832465887069702,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
68376,2,17688,0.15609785914421082,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
166928,6,14864,0.14970341324806213,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
225182,8,22430,0.14443667232990265,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
245023,9,16927,0.13537882268428802,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
171545,6,19481,0.12803839147090912,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
212447,8,9695,0.12682920694351196,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
84342,3,8310,0.12581120431423187,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
57016,2,6328,0.11936846375465393,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
12728,0,12728,0.10842765122652054,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
88774,3,12742,0.10295243561267853,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
285404,11,6620,0.10288527607917786,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
52781,2,2093,0.10140179097652435,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
74266,2,23578,0.10103894770145416,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
145526,5,18806,0.09967223554849625,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
224097,8,21345,0.09857606887817383,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
93720,3,17688,0.09812112152576447,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
244612,9,16516,0.0961165577173233,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
160359,6,8295,0.09492171555757523,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
191389,7,13981,0.0921015664935112,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
161261,6,9197,0.0904201939702034,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
255605,10,2165,0.09013088047504425,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
271010,10,17570,0.08973842859268188,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
156958,6,4894,0.08708350360393524,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
273178,10,19738,0.08564218133687973,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
79806,3,3774,0.08374186605215073,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
95246,3,19214,0.08084797859191895,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
